00000000004271395218	00000000000243570605	1
00000000000248094719	00000000000284849156	2
00000000002744723005	00000000000019066785	1
00000000000274024940	00000000000363435373	1
00000000002489614542	00000000000371730289	1
00000000000268793847	00000000000053079556	1
00000000001152040128	00000000000019192100	1
00000000000496202799	00000000000338084918	1
00000000002406822260	00000000000027476141	1
00000000003251421786	00000000000251826832	1
00000000000254229953	00000000000185439635	1
00000000003437431587	00000000000222983632	1
00000000000027971741	00000000000186439704	1
00000000003560449513	00000000003118216672	2
00000000002517714854	00000000000423567022	1
00000000002381139427	00000000000542936786	2
00000000003938036413	00000000000623584562	1
00000000004503269232	00000000000193194851	1
00000000002429750333	00000000000542936786	6
00000000000020375022	00000000000030686649	1
00000000002954966838	00000000001660112540	1
00000000000493118668	00000000000485509607	1
00000000003123573558	00000000000064005334	1
00000000003312645884	00000000000132482234	1
00000000000374592265	00000000000446821067	1
00715640662469816320	00000000004167250993	1
00000000003623174593	00000000000098310564	1
00000000004657702212	00000000002899114027	1
00000000001856579136	00000000004113075316	1
00000000002958394596	00000000000072658447	2
00000000002795007453	00000000002609988248	18
00000000000201223844	00000000000791090552	1
00000000002459169992	00000000002278890294	1
00000000000562536434	00000000000149733596	1
00000000003312645884	00000000003435753765	1
00000000002958394596	00000000000028784606	1
00000000000061440547	00000000000263121733	1
00000000001852492867	00000000000359528245	1
00000000000308027921	00000000000841945874	1
00000000000396341773	00000000000169065561	1
00000000000536653755	00000000000596814116	1
00000000002585346726	00000000002431207430	1
00000000000739159824	00000000001691596309	1
00000000003119748896	00000000002394681626	1
00000000004838903272	00000000000843672570	1
00000000002485730953	00000000002485730953	2
00000000000087900557	00000000001560373568	1
00000000001017835861	00000000003296202140	1
00000000000720523021	00709108315658326016	1
00000000002993541404	00000000000867871134	1
00000000003145971127	00000000003232492459	1
00714947140104167424	00000000000011247222	1
00000000000426938211	00000000000587725812	1
00000000000323508728	00000000000020472850	1
00000000001029832478	00000000001029832478	1
00000000001542575838	00000000000019571299	1
00000000003458199433	00000000000002425231	1
00000000001911325363	00000000000245269443	1
00000000000474014798	00000000000320255634	1
00715640662469816320	00000000000020659839	1
00000000002307445198	00000000002302563370	1
00000000003047407162	00000000000033906460	1
00000000004270407374	00000000000045452226	1
00000000000416159742	00000000000407261533	1
00000000002466983963	00000000000542936786	2
00000000000541969332	00000000001509841268	1
00000000002881534828	00000000000542057520	1
00000000000053324288	00000000000018784262	1
00000000000088315962	00000000000146425731	1
00000000000041210609	00000000000045452226	1
00000000002420327574	00000000003185292144	1
00000000004912760211	00000000003150895556	1
00000000000271996925	00000000000020633903	1
00000000000061440547	00000000000186202772	1
00000000000352579755	00000000000383314709	1
00708869290959740928	00000000000156725112	1
00000000000425173290	00000000000812726084	2
00000000000150205986	00000000000155659213	1
00000000003110501599	00000000000095588504	1
00000000004474367140	00000000000917841458	1
00715278606734376961	00000000000034676280	1
00000000001412533968	00000000003873928397	1
00000000000247881053	00000000000964037262	2
00000000000024512707	00000000000038195578	1
00000000000242338093	00000000003043137882	1
00000000000274024940	00000000002263867989	2
00713088534937149440	00000000000177547780	1
00000000000065935510	00000000000329746058	1
00000000003317585821	00000000003249900972	1
00000000003172768680	00000000002838283789	1
00000000004013934144	00000000003989035767	2
00000000000123247214	00000000002298236483	1
00000000003948802768	00000000000343547084	1
00000000003793535105	00000000002363244273	1
00000000002891035986	00000000003121564904	1
00000000000020037472	00000000000553710361	1
00000000000437564228	00000000000051404605	1
00000000000228617191	00000000000147279619	1
00000000002459169992	00000000000092123719	1
00000000000588167859	00000000000132385468	1
00000000004063369642	00000000000225247747	1
00000000000949925028	00000000000703297928	1
00000000001585304312	00000000000171638636	1
00000000002783097794	00000000000629097517	1
00715680431849406465	00000000000380749300	1
00000000003223590338	00000000001037032566	1
00000000004716291135	00000000004716291135	2
00000000000183428072	00000000000294876234	1
00000000003165222642	00000000000100766356	1
00000000003411373934	00000000001414736292	1
00000000000279232285	00000000000016012783	1
00000000000248094719	00000000004654900528	1
00000000002710353776	00000000004726618337	1
00000000000518675070	00000000003182677404	1
00000000003056290134	00000000001345209674	1
00000000001607093934	00000000000109100482	1
00000000000317291549	00000000000378716259	1
00000000001136553691	00000000000174260016	1
00000000000095871131	00000000000132385468	1
00000000000431616582	00000000000911890418	1
00000000003793535105	00000000002283995481	1
00000000000323508728	00000000000009598442	1
00000000000299553820	00000000000560641368	1
00000000000020357033	00708426225396617216	1
00000000000291192633	00000000002830051135	1
00705645895665061890	00000000000065050609	1
00000000000916821024	00708783639358795776	2
00000000004870278737	00000000004878814815	1
00708033691088502786	00715445409359986688	1
00000000002459169992	00000000002292701738	1
00000000004785920596	00000000000026570863	2
00000000002876285725	00708251249473413120	1
00000000000026189410	00000000000203083495	1
00000000000801704851	00000000000574727021	1
00000000004857060353	00000000001565079192	1
00000000000587717869	00000000000316671681	1
00000000000452869339	00000000003260598764	1
00000000004772949556	00000000000061578705	1
00000000000222753175	00000000000002425231	1
00000000002993541404	00000000004745320889	1
00000000000363376633	00000000000016153562	1
00000000000625650258	00000000000828134622	1
00000000004258872497	00000000000741182076	1
00000000002267420960	00000000000629579764	1
00000000000425173290	00000000000408345314	1
00000000004912760211	00000000000210758775	1
00000000002751131739	00000000002731671004	2
00000000002175518666	00000000000571488420	1
00000000000609872005	00000000000355989081	1
00000000002609555604	00000000003017206050	1
00000000003140206566	00000000003060560125	1
00000000002476914006	00000000000480412704	4
00000000001856579136	00000000002402099895	1
00000000002884040402	00000000000508910382	1
00000000002649045686	00000000002488218787	3
00000000000486892877	00000000000952310708	1
00000000000822962808	00000000001522999004	1
00000000004716291135	00000000000210627457	1
00000000000347786893	00000000000018375354	1
00000000004169810773	00000000000075841371	1
00000000000432248188	00000000000016153562	1
00000000000351888837	00000000000270608900	1
00000000003560449513	00000000002857096855	1
00000000003252046032	00000000000739485098	2
00000000000712881869	00000000000370536393	1
00000000000339320122	00000000001546243080	1
00000000000577620917	00000000000101311381	2
00000000000609416256	00000000004025643382	1
